,Exact,h=1e-6,h=1e-5,h=1e-4,h=1e-3,h=1e-2,h=1e-1
x=1.0,2.718281828459045,2.7187141427020833,2.718287817060627,2.7182818662652153,2.7182820554472187,2.71830448087762,2.7205478185293503
x=2.0,7.38905609893065,7.389644451905042,7.389040490579645,7.389056122519833,7.389056715823017,7.389117674598822,7.395215698561762
x=3.0,20.085536923187668,20.07993771258043,20.085551000192932,20.08553678933822,20.08553859411677,20.08570430319878,20.1022804509364
x=4.0,54.598150033144236,54.5981038158061,54.59796170725894,54.598147869455715,54.59815460540085,54.5986050192937,54.64366366036443
x=5.0,148.4131591025766,148.41816664556973,148.41305073787223,148.4131587403681,148.41317147329391,148.4143958828099,148.53687796840515
x=6.0,403.4287934927351,403.4745870740153,403.42797547054937,403.428794015781,403.4288270986508,403.43215541156496,403.7650962375437
x=7.0,1096.6331584284585,1096.8506103381515,1096.6323316097257,1096.6331501549575,1096.6332501993747,1096.6422970705025,1097.5473240685458
x=8.0,2980.9579870417283,2977.685653604567,2980.959834530949,2980.958015541546,2980.9582329107798,2980.9828284396644,2983.442946889408
x=9.0,8103.083927575384,8101.778803393245,8103.088475763797,8103.083928290289,8103.084603135358,8103.151453506143,8109.838748773471
x=10.0,22026.465794806718,22017.047740519047,22026.43372584134,22026.465740054846,22026.467631803825,22026.649349281797,22044.827302524205
